pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
1	Bir grup çocuk bir bahçede oynuyor ve yaşlı bir adam arka planda duruyor	Bir bahçedeki bir grup erkek oynuyor ve bir adam arka planda duruyor	4.5	NEUTRAL
2	Bir grup çocuk evde oynuyor ve arka planda duran kimse yok	Bir grup çocuk bir bahçede oynuyor ve yaşlı bir adam arka planda duruyor	3.2	NEUTRAL
3	Genç çocuklar dışarıda oynuyor ve adam yakınlarda gülümsüyor	Çocuklar açık havada gülümsemeli bir adamın yakınında oynuyor	4.7	ENTAILMENT
5	Çocuklar açık havada gülümsemeli bir adamın yakınında oynuyor	Bir grup çocuk bir bahçede oynuyor ve yaşlı bir adam arka planda duruyor	3.4	NEUTRAL
9	Genç çocuklar dışarıda oynuyor ve adam yakınlarda gülümsüyor	Bir grup çocuk bir bahçede oynuyor ve yaşlı bir adam arka planda duruyor	3.7	NEUTRAL
12	İki köpek savaşıyor	İki köpek güreşiyor ve sarılıyor	4.0	NEUTRAL
14	Kahverengi bir köpek, pantolondaki adamın önünde başka bir hayvana saldırıyor	İki köpek savaşıyor	3.5	NEUTRAL
18	Kahverengi bir köpek, pantolondaki adamın önünde başka bir hayvana saldırıyor	İki köpek güreşiyor ve sarılıyor	3.2	NEUTRAL
25	Kimse bisikleti tek bir tekerleğe sürmüyor	Siyah ceketli bir kişi motosiklette hile yapıyor	2.8	NEUTRAL
26	Bir kişi bisikleti tek bir tekerleğe sürüyor	Siyah ceketli bir adam motosiklette hile yapıyor	3.7	NEUTRAL
28	Siyah motosikletli bir kişi ceketle hile yapıyor	Bir kişi bisikleti tek bir tekerleğe sürüyor	3.4	NEUTRAL
30	Bir forma olan bir adam basketbol maçında topu dunking yapıyor	Basketbol maçında forma olan bir adam tarafından top dunked	4.9	ENTAILMENT
35	Bir forma olan bir adam basketbol maçında topu dunking yapıyor	Basketbolu nette oynayan bir adam ve kalabalık arka planda	3.6	NEUTRAL
40	Oyuncu basketbolu ağa koyuyor ve bir kalabalık arka planda	Bir forma olan bir adam basketbol maçında topu dunking yapıyor	3.8	NEUTRAL
42	İki kişi kickboks yapıyor ve seyirciler izlemiyor	İki kişi kickboks yapıyor ve seyirciler izliyor	3.4	CONTRADICTION
44	İki genç kadın bir kickboks kavgasında tartışıyor	Kickboks maçında iki kadın tartışıyor	4.9	ENTAILMENT
45	İki genç kadın bir kickboks kavgasında tartışmıyor	Kickboks maçında iki kadın tartışıyor	3.9	NEUTRAL
47	İki kişi kickboks yapıyor ve seyirciler izliyor	İki genç kadın bir kickboks kavgasında tartışmıyor	3.415	NEUTRAL
49	Kickboks maçında iki kadın tartışıyor	İki kişi kickboks yapıyor ve seyirciler izlemiyor	3.7	NEUTRAL
55	Üç erkek yapraklara atlıyor	Üç çocuk yapraklara atlıyor	4.4	ENTAILMENT
56	Üç çocuk yapraklarda oturuyor	Üç çocuk yapraklara atlıyor	3.8	NEUTRAL
58	Kırmızı gömleklerdeki çocuklar yapraklarda çalıyor	Üç çocuk yapraklarda oturuyor	3.5	NEUTRAL
62	Kırmızı gömleklerdeki çocuklar yapraklarda çalıyor	Üç çocuk yapraklara atlıyor	4.0	NEUTRAL
65	İki melek yalancı çocuklarda kar yapıyor	İki çocuk karda yatıyor ve kar melekleri yapıyor	2.9	NEUTRAL
70	İki çocuk karda yatıyor ve melek çiziyor	Snowsuits'teki iki kişi karda yatıyor ve kar melekleri yapıyor	4.1	NEUTRAL
72	Snowsuits'teki iki kişi karda yatıyor ve kar melekleri yapıyor	İki melek yalancı çocuklarda kar yapıyor	2.5	NEUTRAL
73	İki çocuk karda yatıyor ve kar melekleri yapıyor	Snowsuits'teki iki kişi karda yatıyor ve kar melekleri yapıyor	4.2	NEUTRAL
77	Kostüm giyen insanlar bir ormanda toplanıyor ve aynı yöne bakıyor	Maskeli insanlar bir ormanda aynı yöne bakıyor	4.4	ENTAILMENT
78	Kostüm giyen insanlar bir ormanda toplanıyor ve aynı yöne bakıyor	Kostüm giyen insanlar bir ormanda dağılıyor ve farklı yönlere bakıyor	3.2	NEUTRAL
79	İnsanlar ormanın yakınında toplanan bazı kostümlere bakıyor	Kostüm giyen insanlar bir ormanda toplanıyor ve aynı yöne bakıyor	3.635	NEUTRAL
81	Küçük bir kız kostümlü bir kadına bakıyor	Kostüm giyen insanlar bir ormanda dağılıyor ve farklı yönlere bakıyor	2.4	NEUTRAL
82	Küçük bir kız kostümlü bir kadına bakıyor	İnsanlar ormanın yakınında toplanan bazı kostümlere bakıyor	2.6	NEUTRAL
83	Genç bir kız kostümlü bir kadına bakıyor	Kostüm giyen insanlar bir ormanda toplanıyor ve aynı yöne bakıyor	2.2	NEUTRAL
84	Kostüm giyen insanlar bir ormanda toplanıyor ve aynı yöne bakıyor	Küçük kız kostümlü bir adama bakıyor	3.0	NEUTRAL
85	Kostüm giyen insanlar bir ormanda toplanıyor ve aynı yöne bakıyor	Kostümlü küçük bir kız bir kadına benziyor	2.0	NEUTRAL
87	Yalnız bir bisikletçi havaya atlıyor	Bir motorcu havaya tek başına atlıyor	5.0	ENTAILMENT
88	Havada atlayan motorcu yok	Yalnız bir bisikletçi havaya atlıyor	4.2	CONTRADICTION
90	Bir adam boş bir havuza atlıyor	Bir adam tam bir havuza atlıyor	3.0	CONTRADICTION
91	Bir adam boş bir havuza atlıyor	Adamın jumperı boş havuzda	3.1	NEUTRAL
93	Yalnız bir bisikletçi havaya atlıyor	Bir adam tam bir havuza atlıyor	1.7	NEUTRAL
94	Adamın jumperı boş havuzda	Yalnız bir bisikletçi havaya atlıyor	1.4	NEUTRAL
97	Yalnız bir bisikletçi havaya atlıyor	Bir adam boş bir havuza atlıyor	1.5	NEUTRAL
98	Parkta dört çocuk geri backbend yapıyor	Parkta dört çocuk geri backbend yapıyor	4.8	ENTAILMENT
99	Dört çocuk spor salonunda backbend yapıyor	Parkta dört çocuk geri backbend yapıyor	3.8	NEUTRAL
100	Dört kız backbend yapıyor ve bahçede oynuyor	Dört kız backbend yapıyor ve açık havada oynuyor	4.1	ENTAILMENT
107	Oynayan bir adam elinde topla koşuyor	Bir oyuncu topla koşuyor	4.3	ENTAILMENT
112	İki grup insan futbol oynuyor	Bir oyuncu topla koşuyor	2.1	NEUTRAL
113	Bir beyzbol maçında iki takım yarışıyor	Bir oyuncu topla koşuyor	3.0	NEUTRAL
117	Bir oyuncu topla koşuyor	Bir futbol maçında iki takım yarışıyor	2.6	NEUTRAL
120	Her çocuğun kulübesinin önünde beş ahşap standı	Beş çocuk ahşap bir kulübenin önünde duruyor	3.2	NEUTRAL
122	Beş çocuk birbirine yakın duruyor ve bir çocuğun silahı var	Beş çocuk birbirine yakın duruyor ve çocukların hiçbirinin silahı yok	3.7	CONTRADICTION
124	Beş çocuk birbirine yakın duruyor ve çocukların hiçbirinin silahı yok	Beş çocuk ahşap bir kulübenin önünde duruyor	2.6	NEUTRAL
126	Beş çocuk ahşap bir kulübede duruyor	Beş çocuk birbirine yakın duruyor ve bir çocuğun silahı var	2.7	NEUTRAL
127	Her çocuğun kulübesinin önünde beş ahşap standı	Beş çocuk birbirine yakın duruyor ve bir çocuğun silahı var	2.3	NEUTRAL
129	Yaşlı bir adam bir tarlada oturuyor	Bir adam bir tarlada oturuyor	4.4	ENTAILMENT
130	Bir adam bir tarlada oturuyor	Bir adam bir tarlada koşuyor	2.6	NEUTRAL
131	Bir kişi şapka takıyor ve çimlerin üzerinde oturuyor	Bir kişi bir tarlada oturuyor ve şapka takıyor	4.1	NEUTRAL
133	Bir kişi oturuyor ve çim şapkası giyiyor	Bir kişi şapka takıyor ve çimlerin üzerinde oturuyor	3.4	NEUTRAL
136	Bir kişi oturuyor ve çim şapkası giyiyor	Bir adam bir tarlada oturuyor	3.3	NEUTRAL
139	Bir adam bir tarlada oturuyor	Bir kişi şapka takıyor ve çimlerin üzerinde oturuyor	3.8	NEUTRAL
140	Akım, bir salda bir grup arkadaş tarafından sürülüyor	Bir grup arkadaş bir salda akımı sürüyor	4.9	ENTAILMENT
141	Bir grup arkadaş bir salda akımı sürüyor	Bir grup bir salda akımı sürmüyor	3.7	CONTRADICTION
146	Akım, bir salda bir grup arkadaş tarafından sürülüyor	Bu grup insan su güvenliği ve koruyucular giyiyor	3.2	NEUTRAL
148	Bir grup arkadaş bir salda akımı sürüyor	Bu grup insan su güvenliği ve koruyucular giyiyor	3.1	NEUTRAL
150	Bir geyik bir çitin üzerinden atlıyor	Bir geyik çitin üzerinden atlamıyor	3.9	CONTRADICTION
159	İnsanlar üzerinde birçok duvar resmi olan bir binanın içinde yürüyor	İnsanlar üzerinde birçok duvar resmi olan bir binanın dışında yürüyor	3.4	NEUTRAL
161	Birkaç kişi renkli bir binanın önünde	Kimse renkli binanın önünde değil	3.5	CONTRADICTION
163	İnsanlar üzerinde birçok duvar resmi olan bir binanın dışında yürüyor	Kimse renkli binanın önünde değil	3.6	NEUTRAL
164	İnsanlar üzerinde birkaç duvar resmi olan binanın dışında yürüyor	Birkaç kişi renkli bir binanın önünde	3.6	ENTAILMENT
170	Bir aile beyzbol vuran küçük bir çocuğu izliyor	Bir aile beyzbolu kaçıran küçük bir çocuğu izliyor	3.9	NEUTRAL
173	Bir çocuk beyzbola vuruyor	Bir aile beyzbolu kaçıran küçük bir çocuğu izliyor	3.015	NEUTRAL
176	Bir çocuk beyzbol kaçırıyor	Bir aile beyzbol vuran küçük bir çocuğu izliyor	2.7	NEUTRAL
183	Mor bir insan kalabalığı çeşitli kırmızı aydınlatmalı restoran masalarında yemek yiyor	Mor ışıklı kalabalık bir restoranda çeşitli insanlar kırmızı masalarda yemek yiyor	3.3	NEUTRAL
184	Bir restoranda büyük bir grup Asyalı insan yemek	Mor ışıkları olan kalabalık bir restoranda çeşitli müşteriler yemek	2.9	NEUTRAL
186	Mor bir insan kalabalığı çeşitli kırmızı aydınlatmalı restoran masalarında yemek yiyor	Bir restoranda büyük bir grup Asyalı insan yemek	3.1	NEUTRAL
188	Mor ışıklı kalabalık bir restoranda çeşitli insanlar kırmızı masalarda yemek yiyor	Küçük bir grup insan bir restoranda yemek yemeyi bekliyor	3.2	NEUTRAL
192	Beyaz bir motosikletin koltuğunda bir motosiklet sürücüsü duruyor	Hiçbir motosiklet sürücüsü bir motosikletin koltuğunda durmuyor	3.8	CONTRADICTION
194	Kimse motosiklette değil ve koltukta duruyor	Birisi siyah beyaz bir motosiklette ve koltuğun üzerinde duruyor	3.7	CONTRADICTION
200	Bir motosikletçi bir karayolu boyunca tehlikeli bir motosiklet sürüyor	Bir motosikletçi bir yol boyunca motosiklet sürüyor	4.6	ENTAILMENT
201	Bir karayolu boyunca motosiklet süren motosikletçi yok	Bir motosikletçi bir yol boyunca motosiklet sürüyor	3.7	CONTRADICTION
202	Kask kırmızı boyalı bir adam yolda mavi bir motosiklet sürüyor	Kırmızı kasklı bir motosikletçi yolda mavi bir motosiklet sürüyor	4.8	ENTAILMENT
205	Kasksız bir motosikletçi yolun yakınında mavi bir motosiklet bekliyor	Bir motosikletçi bir yol boyunca motosiklet sürüyor	3.3	NEUTRAL
215	İki köpek bir ağaç tarafından oynuyor	Bir köpek havada bir sopa yakalıyor ve diğeri izliyor	3.7	NEUTRAL
216	İki köpek bir ağaç tarafından oynuyor	Havada sıçrayan köpek yok	2.7	NEUTRAL
217	İki köpek bir ağaç tarafından oynuyor	Bir köpek havada yüksek sıçruyor ve diğeri izliyor	3.0	NEUTRAL
223	Beyaz bir kız dans ediyor	Dansçı ses ekipmanının önünde dans ediyor	4.0	NEUTRAL
224	Beyaz bir kız dans ediyor	Sarışın kız ses ekipmanının arkasında dans ediyor	3.3	NEUTRAL
226	Bir kız beyaz kıyafetler giyiyor ve dans ediyor	Sarışın kız ses ekipmanının önünde dans ediyor	3.5	NEUTRAL
