pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
4	Genç çocuklar dışarıda oynuyor ve adam yakınlarda gülümsüyor	Dışarıda oynayan bir çocuk yok ve gülümseyen erkek yok	3.6	CONTRADICTION
24	Siyah ceketli bir kişi motosiklette hile yapıyor	Yetenekli bir kişi bir tekerleğe bisiklet sürüyor	3.4	NEUTRAL
105	Dört çocuk spor salonunda backbend yapıyor	Dört kız backbend yapıyor ve açık havada oynuyor	3.8	NEUTRAL
116	Bir oyuncu topu atıyor	Bir futbol maçında iki takım yarışıyor	2.9	NEUTRAL
119	Beş çocuk ahşap bir kulübenin önünde duruyor	Beş çocuk ahşap bir kulübede duruyor	4.2	NEUTRAL
185	Işıksız bir restoranda kırmızı masalarda çok az insan yemek yiyor	Bir restoranda büyük bir grup Asyalı insan yemek	2.6	NEUTRAL
197	Birisi siyah beyaz bir motosiklette ve koltuğun üzerinde duruyor	Aracın koltuğunda bir motosiklet biniyor	3.165	NEUTRAL
211	İki köpek bir ağaç tarafından oynuyor	İki köpek bir bitki tarafından oynuyor	4.6	ENTAILMENT
218	Beyaz bir kız dans ediyor	Bir kız beyaz kıyafetler giyiyor ve dans ediyor	4.9	ENTAILMENT
219	Beyaz dans eden kız yok	Beyaz bir kız dans ediyor	4.2	CONTRADICTION
225	Sarışın dans eden kızın önündeki ekipman ses	Beyaz bir kız dans ediyor	2.7	NEUTRAL
228	Beyaz bir kız dans ediyor	Sarışın kız ses ekipmanının önünde dans ediyor	3.3	NEUTRAL
236	Bir ailenin çocukları oynuyor ve bekliyor	Asyalı bir adam dans ediyor ve üç çocuk bakıyor	1.9	NEUTRAL
253	Bir yürüyüşçü dağın tepesinde ve neşeli bir dans yapıyor	Bir yürüyüşçü dağın tepesinde ve dans ediyor	4.7	ENTAILMENT
280	Bir çocuk suyun dışında duruyor	Çocuk mavi okyanusta dolaşıyor	3.135	NEUTRAL
285	Kel bir kişi gitar çalıyor	Bir kişinin sarışın ve uçucu saçları vardır ve gitar çalıyor	3.9	NEUTRAL
304	Eski, üstsüz bir kadın boya ile kaplıdır	Genç, üstsüz bir kadın boya ile kaplıdır	3.8	NEUTRAL
317	Üniformalı bir grup çocuk bir kapıda duruyor ve anneyi öpmeyen kimse yok	Bir kalabalık suya yakın	1.3	NEUTRAL
382	Kahverengi ve beyaz bir köpek uzun çimlerin içinden geçiyor	Kahverengi ve beyaz bir köpek yabani otların içinden geçiyor	4.4	NEUTRAL
384	Beyaz ve ten rengi bir köpek, uzun ve yeşil çimlerin içinden geçiyor	Beyaz ve ten rengi bir köpek bir tarladan geçiyor	4.35	ENTAILMENT
